desc,address,link,price,bedrooms,bathrooms,toilets,parking space,location,Estate,ppty_type
1 bedroom mini flat (room and parlour) for rent,"Behind Elevation Church, Ikate, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/mini-flats/lagos/lekki/ikate/2241759-mini-flat,3000000.0,1.0,1.0,2.0,1.0,Lekki,"Ikate, Church,",mini flat
1 bedroom flat / apartment for rent,"Behind Elevation Church, Salem, Ikate, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/lekki/ikate/2089259-awesomely-finished-and-furnished-shared-1-bedroom-apartment,1500000.0,1.0,1.0,2.0,1.0,Lekki,"Ikate, Salem,",flat 
3 bedroom terraced duplex for rent,"Gra, Abijo, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/houses/terraced-duplexes/lagos/lekki/abijo/2183076-fully-furnished-serviced-3-bedroom-terraced-duplex-in-a-secure-estate,5000000.0,3.0,3.0,4.0,3.0,Lekki,"Abijo, Gra,",terraced duplex
3 bedroom flat / apartment for rent,"Fola Osibo, Lekki Phase 1, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/lekki/lekki-phase-1/2208721-fully-serviced-3-bedrooms-flat-with-bq-downstairs,5000000.0,3.0,3.0,4.0,2.0,Lekki,"1, Phase",flat 
4 bedroom semi-detached duplex for rent,"Oniru, Victoria Island (VI), Lagos",https://nigeriapropertycentre.com//for-rent/houses/semi-detached-duplexes/lagos/victoria-island/oniru/2244542-luxury-4-bedroom-semi-detached-duplex-with-swimming-pool,18000000.0,4.0,4.0,1.0,3.0,(VI),Island Victoria,semi-detached duplex
3 bedroom flat / apartment for rent,"Horizons 2 Estate, Meadow Hall Road, Ikate, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/lekki/ikate/2244537-luxury-3-bedrooms-flat-serviced-apartment-with-boys-quarter,6000000.0,3.0,3.0,4.0,3.0,Lekki,"Ikate, Road,",flat 
2 bedroom flat / apartment for rent,"Agungi, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/lekki/agungi/2244478-newly-built-2-bedrooms-flat-beautifully-finished-and-24-hours-serviced,4000000.0,2.0,2.0,3.0,2.0,Lekki,,flat 
3 bedroom terraced duplex for rent,"Ikota, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/houses/terraced-duplexes/lagos/lekki/ikota/2244473-brand-new-luxury-3-bedrooms-terraced-duplex-available,4500000.0,3.0,4.0,4.0,2.0,Lekki,,terraced duplex
2 bedroom flat / apartment for rent,"Ikate, Ilasan Bustop, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/lekki/2244447-brand-new-luxury-2-bedroom-serviced-apartment,6500000.0,2.0,2.0,3.0,2.0,Lekki,"Bustop, Ilasan",flat 
1 bedroom mini flat (room and parlour) for rent,"Off Orchid Hotel Road, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/mini-flats/lagos/lekki/2244440-luxury-serviced-shared-apartment,1000000.0,1.0,1.0,1.0,1.0,Lekki,"Road, Hotel",mini flat
